VideoID,Comment,Sentiment
22tVWwmTie8,im twenty years younger now thank you slim,positive
b1kbLwvqugk,I love this song so much,positive
b1kbLwvqugk,why does Taylor always brings me back to her over the years and im still completely in love with her and her music This song is incredible I cant wait to hear the rest of the album,positive
b1kbLwvqugk,I love you songs Taylor Swift,positive
b1kbLwvqugk,Its amazing how 24 hours ago we didnt know this song Now its a favorite Im putting on repeat,positive
b1kbLwvqugk,Okay I have recently started to like TS,positive
b1kbLwvqugk,To be honest these are the music videos we accept from artists that actually suits the music  Really love this MV,positive
b1kbLwvqugk,Man am I glad Ive been a Swiftie since her first album Always knew there was something special about her and so glad the world got to see it I feel like people get so excited for her new albums because they arent just songs to dance to they are almost chapters of our own lives that someone else has perfectly articulated Songs that we listen to for the rest of our lives because of the memories that come with them Taylor Swift is not just any artist She is one of the greatest artists of our time and I wish she knew in these midnight moments how much she is loved,positive
b1kbLwvqugk,I aint even a swiftie BUT this is genius Creative honest and thoughtprovoking Gonehead Taylor,positive
b1kbLwvqugk,This song is Taylors best work in recent times The lyrics are so much relatable and the tune goes perfectly with that It makes me happy in a weird way probably due to dealing with adulthood and realizing the mistakes that Ive made so far Sitting in a corner in your room and contemplating about the meaning of this song makes it special Thank you Taylor,positive
b1kbLwvqugk,Oh Taylor thank you for this its so brave of you to expose your insecurities to millions of people like this and the way you did it made me speechless Im still shocked by the album I loved every single song and Im really wishing you the bestlove you sm keep being this huge inspiration for all the swifties,positive
b1kbLwvqugk,The transition from Taylor singing to them reading the will is just soooooo clean,positive
b1kbLwvqugk,Whos watching this masterpiece on june month  2024,positive
b1kbLwvqugk,She is very clever with hiding her experiences situations she been through her ideas and reality in metaphors and making brilliant entertaining stories out of them BEST ARTIST EVER,positive
b1kbLwvqugk,its insane how everyone else can have an opinion on Taylors body and how she was labelled but taylor herself should not and CANNOTI just hope shes happy and always knows theres people who love and support her and wouldnt judge her for when she feels vulnerable or feels comfortable enough to let people know what shes gone through,positive
b1kbLwvqugk,Another heartbreakingly relatable bop Blondie never disappoints and she never will Crazy how I loved her from Fearless when I discovered her and how her music and life still mirrors my own now Swiftie forever 3,positive
b1kbLwvqugk,The fact that she transport the reality into a simple wild song is freaking awesome,positive
b1kbLwvqugk,The scene where they read her will is hilarious taylor is the best,positive
b1kbLwvqugk,love ta,positive
b1kbLwvqugk,Taylor is such a multifaceted talent with a seemingly bottomless bag of new tricks and ideas to show off She does it so effortlessly I sometimes forget how not normal it is for an artist to be able to churn out stuff with the consistency and ease she does It makes being a fan a lot of fun,positive
b1kbLwvqugk,Iam blown away by this song and music video The concept is incredible and love Taylor for being so vulnerableThese are truly someones darkest thoughts and Im so grateful that shes shared this part of herself,positive
b1kbLwvqugk,One of my favorite singers,positive
b1kbLwvqugk,She is amazing She doesnt sing just to sing There is ALWAYS meaning and ALWAYS a message Its sad so many people are too closed minded to appreciate her talent,positive
b1kbLwvqugk,Its really sad that I dont get to share this love for Taylors music with basically anybody around me I get so excited for her music videos and her Easter eggs lyrics etc but people around me are so focused on not liking her its really sad But also I cant express with words how much I LOVE THIS SONG and the MV Tears up,positive
b1kbLwvqugk,exciting,positive
b1kbLwvqugk,Not a Swifty but I cant deny that Taylor Swift always delivers 1010,positive
b1kbLwvqugk,As someone with many sides and insecurities I totally relate to this song and she portrays it well with this masterpiece of a music video   The side thats highly critical of herself The other side that feels like she doesnt fit in and then just her normal self wanting to love and accept all of herself,positive
b1kbLwvqugk,The recorded audio her daughter named Kimberly the shade I love it i so love you Taylor you never dissapoint every single time,positive
b1kbLwvqugk,Im really starting to like Taylor Swift now that other people arent,positive
b1kbLwvqugk,This song has a strong 80s vibe to it Best message To me this is her best work so far Way to come into your own I am a fan,positive
b1kbLwvqugk,Ill stare directly at the sun but never in the mirror  Love this line so much youd rather damage your eyes than see who you truly are Beautifully written,positive
b1kbLwvqugk,Wow I have so much respect for her  putting out such a vulnerable and honest song after everything she has gone thru I love how unashamedly honest this is And those beats,positive
b1kbLwvqugk,Taylor Swift is truly a talented brilliant artist There is an incredible depth and intelligence to her music  What an impressive person,positive
b1kbLwvqugk,One of the best by Taylor x,positive
b1kbLwvqugk,Ill admit this im a metal head but on my playlist I have this track something about this song makes me feel relaxed  I literally can listen to it 3 to 4 times in a row btw im a male over 40,positive
b1kbLwvqugk,Beautiful unique song,positive
b1kbLwvqugk,Only Taylor can consistently release catchy songs with meaningful lyrics She is one of a kind There never has been something like her in the music industry and she will go down in music history Im just thankful Im alive in a time when THE Taylor Swift is releasing new music,positive
b1kbLwvqugk,Did anyone else notice how in her will all of the people receiving her assets are her cats  The beach house will be turned into a cat sanctuary and her children get 13 cents each I love Taylor because even with such serious songs she finds a way to fit in her funny personality,positive
b1kbLwvqugk,AntiHero is the best,positive
b1kbLwvqugk,This honestly is a masterpiece Ive always loved how selfaware Taylor is of her image in the media and how shes able to use her comedic genius to turn it into gold The part where they said theres always a secret encoded message had me dying of laughter This song is amazing Taylor I cant wait to listen to the rest of the album tonight,positive
b1kbLwvqugk,Not being afraid to show what she feels through her lyrics is something that characterizes her and is appreciated,positive
b1kbLwvqugk,She never fails to deliver the best No matter how much time passes or how many songs she write there will always be something unique and soul entrancing in them Only Taylor can,positive
b1kbLwvqugk,I love how the different versions of Taylor  are shown laughing hanging hangout with each other and ultimately supporting each other Like even problem Taylor is a friend and there to fall back on,positive
b1kbLwvqugk,with everything that taylor has been through she always knows how to create beautiful lyrics to tell her story to others and so others can know that theyre not alone,positive
b1kbLwvqugk,Kudos to international swifties like me who didnt get to meet her at midnight but are still holding onto the spirit,positive
b1kbLwvqugk,Its so crystal clear how this songs so personal and heartfelt that it could resonate with anyone whos struggling with occasional or frequent moments of selfloathe,positive
b1kbLwvqugk,Taylor has gone to another level of making art Its so honest and precious,positive
b1kbLwvqugk,Over 200 million is nice Deserves 1 billion,positive
b1kbLwvqugk,Only Taylor Swifts cats like the beach Thats how awesome she is,positive
b1kbLwvqugk,its crazy she compose the song write the song and even DIRECT music video shes so talented btw she looks like my english teacher,positive
b1kbLwvqugk,She always convey such emotions in every of her songs and thats just incredible It doesnt matter how you feel about it or if you relate to it cause Taylors songs are always meant for us to enjoy,positive
b1kbLwvqugk,She is literally the definition of creativity she can make us feel so sad and yet so happy at the same time,positive
b1kbLwvqugk,Its the way she took her darkest thoughts and experiences and created something so beautiful Her imagination and creativity have always been so inspiring It takes a lot of courage to share your heart with others and to do on that on such a massive scale I believe people can say whatever they want to but to us fans shell always be fascinating inspiring and absolutely adorable,positive
b1kbLwvqugk,The hypocrisy of the media is astounding I thought the scale scene was really vulnerable and Im really upset that part of it was taken out We love you Taylor and we appreciate you being open with us about your insecurities,positive
b1kbLwvqugk,I am a 51 year old guy with grown kids who loves Taylor Swifts music I know Im not the demographic but as a music fan a great song is a great song Shes one of the most talented songwriters and artists in my lifetime Her music is authentic vulnerable passionate and creative Thanks for sharing your talent with the world Taylor,positive
b1kbLwvqugk,The thing that separates Taylor from several artists is that she always takes part in making her music be it her songwriting or her directing her music videos Really goes to show how dedicated she is about her craft,positive
b1kbLwvqugk,I hope that everyone that relates to this song will feel more appreciated than ever,positive
b1kbLwvqugk,i wish i had a free taylor swift concert ticket,positive
b1kbLwvqugk,I weight 260lbs and Im offended by people that called this fatphobic and made you delete the scene Your experiences are your own and It was OK to have that scene Thank you Taylor for everything you give us Great song,positive
b1kbLwvqugk,I stare directly at the sun but never in the mirror I just love that line Awesome music video as well Perfect storytelling,positive
b1kbLwvqugk,Shes not just a singersongwriter shes also a very effective storyteller,positive
b1kbLwvqugk,This is a song with a hidden message not everybody could componse a theme like this,positive
b1kbLwvqugk,SHE REALLY CAME BACK MUCH STRONGER THAN A 90S TREND,positive
b1kbLwvqugk,Im convinced she wrote this song about me,positive
b1kbLwvqugk,How could someone not recognize the genius this woman is Im always amazed by her capability of telling a history or many stories through one song Shes the best we have,positive
b1kbLwvqugk,Taylor the more I listen to this song the more I appreciate it Its very cool to compare goodwill and badwill,positive
b1kbLwvqugk,This is the best song by Taylor Swift Never gets boring Nice bass in it which sounds real nice on my audio system,positive
b1kbLwvqugk,Im a 50 something year old woman So Im not exactly the Taylor Swift demographic for fansbut this in my opinion is her best song This to me is a song about selfreflection and being truly honest with yourself Life is cruel and painful at times We cant expect others to love us if we dont love ourselves first,positive
b1kbLwvqugk,This album is a masterpiece like every album shes made for us  Love you Taylor   French Swifties,positive
b1kbLwvqugk,I love how Taylor Swift can make so relatable songs for many of us that are not always centered around romantic life,positive
b1kbLwvqugk,she slayed the hardest ever this is her best mv periodt lets get 30m in 24h for the music industry who never disappoints and keeps giving,positive
b1kbLwvqugk,One of the best things with her music is how relatable some of her songs are How shes not afraid to show that just because shes a celebrity doesnt mean shes doesnt go through what a lot of us do Especially for her teenage audience Its almost inspiring in a sense It really shows that everyone goes through things in their lives and that youre never really alone,positive
b1kbLwvqugk,Taylor is the definition of creative honestly its rare to find people who make these types of music videos anymore,positive
b1kbLwvqugk,taylors one of a kind to be relevant after so many years in this industry is hard shes so hardworking and has such a way with words were so lucky to have her and you can tell how personal this song is and is portrayed so well she never fails 3,positive
b1kbLwvqugk,Fantastic Song  thank you Taylor Swift,positive
