VideoID,Comment,Sentiment
TjBA6jy4ako,I wasnt financial free until my 40s and Im still in my 40s bought my third house already earn on a monthly through passive income and got 4 out of 5 goals just hope it encourages someone that it doesnt matter if you dont have any of them right now you can start TODAY regardless your age INVEST and change your future Investing in the financial market is a grand choice I made Great video Thanks for sharing Very inspiring I love this,positive
TjBA6jy4ako,HERE Congrats to everyone who is early and who found this comment,positive
TjBA6jy4ako,TY,positive
lDDRtjSq3Fc,when I grow up I want to be a manga artist,positive
D-9aEmB5DhM,Prayers,positive
lDDRtjSq3Fc,The man The legend The GOAT BOW,positive
lDDRtjSq3Fc,I cant imagine an unacademic people write such a deep storyline,positive
lDDRtjSq3Fc,Nowadays youre a legend sir,positive
lDDRtjSq3Fc,Legend,positive
D-9aEmB5DhM,Why am I moved and teary So hard to imagine this gives me chills to my bones,positive
lDDRtjSq3Fc,The Legendary writerHajime Isayama,positive
lDDRtjSq3Fc,You sir are a legend,positive
lDDRtjSq3Fc,Theres only a few anime that can par with aots plot,positive
lDDRtjSq3Fc,And became legend by creating a legendary series,positive
D-9aEmB5DhM,i wish i can hug them allmy heart hurts for the lost and the survivors,positive
lDDRtjSq3Fc,Your work will be remembered in history,positive
lDDRtjSq3Fc,Living legend,positive
lDDRtjSq3Fc,Its so crazy to realise that this one man created the whole AoT universe,positive
lDDRtjSq3Fc,THIS MANS IMAGINATION IS JUST INCREDIBLE,positive
lDDRtjSq3Fc,Living breathing legend,positive
lDDRtjSq3Fc,LEGENDDDD,positive
lDDRtjSq3Fc,the storytelling in this anime is just genius,positive
lDDRtjSq3Fc,He is such a madlad,positive
lDDRtjSq3Fc,What an extraordinary journey,positive
lDDRtjSq3Fc,I cant get over how much of a genius this man is,positive
lDDRtjSq3Fc,a legend,positive
lDDRtjSq3Fc,Salute to this guy,positive
lDDRtjSq3Fc,This man is legendary,positive
lDDRtjSq3Fc,This man rily making history here,positive
PHVGL1BDXXU,I respect Al Jazeera for perfect translation just saw another documentary about Afghanistan from one of these western countries and so much lies and misinformation and also the translation was wrong adding extra words or leaving some words out to change the meaning of the sentence,positive
lDDRtjSq3Fc,legendary,positive
lDDRtjSq3Fc,He is the GOAT,positive
lDDRtjSq3Fc,I wanna meet him he seems really chill tbh,positive
lDDRtjSq3Fc,This man is the definition of nothing is impossible what an absolute legend,positive
lDDRtjSq3Fc,A living legend,positive
lDDRtjSq3Fc,legendd,positive
lDDRtjSq3Fc,my goat forever,positive
lDDRtjSq3Fc,This man is my god,positive
lDDRtjSq3Fc,This man is a living legend,positive
lDDRtjSq3Fc,THIS KING,positive
